Room type,Name,Descriptions,Rating,Price
Entire serviced apartment in Kuala Lumpur,Expressionz-KLCC-View-Studio-Apartment-High-Floor❀,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning",4.81,$26 per night
Entire rental unit in Kuala Lumpur,Staycation l Netflix l Fully Vaccinated accepted,"3 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.67,$40 per night
Entire rental unit in Kuala Lumpur,Monthly Stay★Netflix★Bukit Bintang★Infinity Pool,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",4.74,$32 per night
Entire rental unit in Kuala Lumpur,"CozyStudio1, KLCC with Netflix","2 guests, Studio, 0 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.66,$23 per night
Entire condominium (condo) in Kuala Lumpur,Roomy' business WFH (provide early check in)#2,"4 guests, Studio, 3 beds, 1 bath, Wifi, Air conditioning, Kitchen",4.62,$23 per night
Entire condominium (condo) in Kuala Lumpur,KLCC NetflixWifi cozy studio Gleneagles embassy,"3 guests, 1 bedroom, 1 bed, 1.5 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.78,$16 per night
Entire rental unit in Kuala Lumpur,Dorsett. Rooftop pool. Pavilion.1R1B #D7.1,"2 guests, 1 bedroom, 1 bed, 1.5 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.50,$29 per night
Entire rental unit in Kuala Lumpur,Bali Style Teak Wood Furniture 1BR w Infinity Pool,"4 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.82,$21 per night
Entire rental unit in Kuala Lumpur,Designer Apt w/ Amazing Balcony @ Bukit Bintang,"4 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Air conditioning, Self check-in",4.71,$16 per night
Entire condominium (condo) in Kuala Lumpur,KLCC ALG Suite LEISURE 1-BD @ Arte+ Jalan Ampang,"2 guests, 1 bedroom, 1 bed, 2 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.52,$21 per night
Entire condominium (condo) in Kuala Lumpur,WhiteForestLust@The Robertson KL KLCC View Netflix,"4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.83,$37 per night
Entire serviced apartment in Kuala Lumpur,Professional Suite★Sanitised ★ Wifi Netflix Ready,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.67,$19 per night
Entire serviced apartment in Kuala Lumpur,Monyhly Package / Ceylonz Suites,"2 guests, 1 bedroom, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",,$11 per night
Entire loft in Kuala Lumpur,KS01 -Truly Bright & Stylist Room in Bukit Bintang,"3 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Self check-in",4.45,$10 per night
Entire rental unit in Kuala Lumpur,Sipping Afternoon Tea in the Relaxing Touches,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.80,$22 per night
Entire rental unit in Kuala Lumpur,"Comfort, Modern Design Studio/KLCC Infinity Pool","2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.91,$14 per night
Entire rental unit in Kuala Lumpur,Business suites with high speed internet,"3 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.71,$35 per night
Entire serviced apartment in Kuala Lumpur,"Roomy' cozy suite k5 @one bukit ceylon, pavillion","4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.71,$24 per night
Entire rental unit in Kuala Lumpur,Bold Modernism with Simplicity Lifestyle,"4 guests, Studio, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",5.0,$24 per night
Entire rental unit in Kuala Lumpur,Retro Glam under The Starry Light,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.90,$24 per night
,,,,
