Room type,Name,Descriptions,Rating,Price
Entire condominium (condo) in Kuala Lumpur,WhiteForestPiazza@The Robertson- Balcony- Netflix,"6 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.89,$38 per night
Entire rental unit in Kuala Lumpur,Urban Resort Studio Apt (New) | 3mins Walk to KLCC,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",5.0,$29 per night
Entire rental unit in Kuala Lumpur,#53 2BInfinityPoolLuxSuite#KLCCVIEW#1MinWalkKLCC,"4 guests, 2 bedrooms, 4 beds, 2 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.78,$43 per night
Entire condominium (condo) in Kuala Lumpur,Designer 1BR Ensuite in City Center Kuala Lumpur,"4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.77,$32 per night
Entire rental unit in Kuala Lumpur,Relive Your Childhood Dreams,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.67,$21 per night
Entire rental unit in Kuala Lumpur,Fraser Residence KL 1BR High Speed internet,"3 guests, 1 bedroom, 1 bed, 1.5 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.95,$42 per night
Entire serviced apartment in Kuala Lumpur,"Next to KL Tower, Free Shuttle Bus and Netflix","4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.75,$19 per night
Entire rental unit in Kuala Lumpur,Embrace Nature in Modern Studio with Infinity Pool,"4 guests, Studio, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.78,$26 per night
Entire condominium (condo) in Federal Territory of Kuala Lumpur,Wake Up in KLCC View,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",4.78,$22 per night
Entire rental unit in Kuala Lumpur,Calming in Zen Minimalist Studio & Infinity Pool,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.84,$23 per night
Entire serviced apartment in Kuala Lumpur,Work From Ceylonz Suite . 9AM-7PM Only RM75 ★ T&C,"2 guests, Studio, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.69,$18 per night
Entire rental unit in Kuala Lumpur,"Comfy, Modern Design Suite/KLCC Infinity Pool","4 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.81,$14 per night
Private room in Federal Territory of Kuala Lumpur,(A) Individual room with KLCC view & Infinity Pool,"2 guests, 1 bedroom, 1 bed, 1 private bath, Wifi, Air conditioning, Kitchen, Self check-in",4.86,$15 per night
Entire rental unit in Kuala Lumpur,Dorsett.Rooftop Pool.Pavilion KLCC 1R1B  #D3,"2 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.39,$29 per night
Entire rental unit in Kuala Lumpur,【Sanitized】✦KL City✦Peace✦Couple suites✦InfiPool,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.77,$18 per night
Entire condominium (condo) in Kuala Lumpur,"Roomy' cozy suite k3 @one bukit ceylon, pavillion","4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",4.62,$23 per night
Entire condominium (condo) in Kuala Lumpur,"Infinity Sky Pool Near KLCC ,1BR,180 Panorama View","2 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.97,$27 per night
Entire rental unit in Kuala Lumpur,Meaningful Life with A Box of Crayons,"3 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Self check-in",4.50,$22 per night
Entire condominium (condo) in Kuala Lumpur,One Bedroom Apartment in the Heart of KL City,"2 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.89,$24 per night
Entire serviced apartment in Kuala Lumpur,#SANITISED#KLCCVIEW#HighFloor#InfinityPool#YAJU4,"2 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",5.0,$34 per night
,,,,
