Room type,Name,Descriptions,Rating,Price
Entire loft in Cyberjaya,"TamarindSuitesKing[LOFT 
unit] #niceview#selfentry","5 guests, 1 bedroom, 3 beds, 1.5 baths, Wifi, Air conditioning, Free parking, Kitchen",4.81,$25 per night
Entire rental unit in Bukit Bintang,D'majestic Place by Homes Asian - Twin Suite.D129,"3 guests, Studio, 2 beds, 1 bath, Wifi, Air conditioning",4.68,$16 per night
Entire townhouse in Kuala Lumpur,Courtyard House + Private Pool (10 beds),"10 guests, 4 bedrooms, 10 beds, 5 baths, Wifi, Air conditioning, Kitchen",4.65,$179 per night
Entire condominium (condo) in Batu 9 Cheras,"Simfoni 14: WIFI, City view, free parking","2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Free parking, Kitchen",4.88,$18 per night
Entire condominium (condo) in Kuala Lumpur,ExpressionZ - 1 Bedroom Studio KLCC View - Netflix,"2 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Free parking",4.95,$22 per night
Entire condominium (condo) in Kuala Lumpur,*Balcony Suite* Warm & Cozy 1BR Aprt Bukit Bintang,"5 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Free parking, Kitchen",4.69,$32 per night
Entire loft in Petaling Jaya,Cozy【Totoro Loft 】@ Damansara with WiFi & Netflix,"4 guests, 1 bedroom, 1 bed, 1.5 baths, Wifi, Air conditioning, Free parking, Kitchen",4.64,$32 per night
Entire serviced apartment in Kuala Lumpur,"KL3, 1BR with 100mbps at KL Bukit Bintang (3 pax)","3 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Free parking, Kitchen",4.79,$31 per night
Entire condominium (condo) in Bukit Bintang,One Bukit Ceylon by Homes Asian - Deluxe.i01,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",4.54,$25 per night
Entire serviced apartment in KUALA LUMPUR,4🌟 Lux Apmt-Mont Kiara-Publika-Dorsett Residences,"2 guests, 1 bedroom, 1 bed, 1.5 baths, Wifi, Air conditioning, Kitchen",4.73,$25 per night
Entire condominium (condo) in Kuala Lumpur,KLCC View | Studio | Infinity Pool | Netflix,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning",4.97,$24 per night
Entire serviced apartment in Kuala Lumpur,"KL Sentral Bangsar EST, Loft Suite","4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",5.0,$28 per night
Entire condominium (condo) in Balakong,Apple Home 2@ Menara Simfoni/King Bed/100Mbps Wifi,"2 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Free parking, Kitchen",4.96,$19 per night
Room in serviced apartment in Kuala Lumpur,#4 SOLO Room @ HUT Co-Living KLCC | 500 Mbps WiFi,"1 guest, 1 bedroom, 1 bed, 1 private bath, Wifi, Air conditioning, Kitchen",3.67,$10 per night
Entire rental unit in Kuala Lumpur,1★PWTC★ Internet 500MB/s ★ Washer★ Netflix,"5 guests, Studio, 4 beds, 1 bath, Wifi, Air conditioning, Kitchen",4.63,$16 per night
Entire rental unit in Petaling Jaya,Moodbox Halo Sunday Studio [Wi-Fi/Netflix/WFH],"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Free parking, Kitchen",4.88,$22 per night
Entire condominium (condo) in Petaling Jaya,"SEDAYU STUDIO (SanitizedUnit)(NETFLIX,WIFI&MOVIE)","6 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen",4.87,$24 per night
Entire guesthouse in Selangor,"WoodCation
No AC, equipped with ceiling/vent fans","3 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Free parking, Kitchen",4.56,$13 per night
Entire apartment in Kuala Lumpur,Chic Studio Suite @ KL City l Netflix l WiFi,"2 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Free parking",,$24 per night
Entire condominium (condo) in Kuala Lumpur,WhiteForestPiazza@The Robertson- Balcony- Netflix,"6 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Air conditioning, Free parking, Kitchen",4.89,$37 per night
,,,,
