Title,Company Name,Location,Salary,Rating,Descriptions
Fraud Operation Analyst,DS SSC MALAYSIA SDN BHD (FOODPANDA MALAYSIA),Kuala Lumpur,"RM 5,000 - RM 5,999 a month",,You will act as the link between our local operations and data scientist/analytics teams to identify and action opportunities that will improve both the…
INSIGHTS ANALYST (MEDIA COVERAGE AND SOCIAL MEDIA),News & Ads Monitoring Agency Sdn. Bhd.,Kuala Lumpur,"RM 2,000 - RM 2,499 a month",,Responsibilities: • Analyse mainstream media and social content to derive meaningful insights for clients • Prepare reports based on those insights/data.
Market Research Analyst,Blackarm,Kuala Lumpur,,,"Conduct consumer research and analyze the data. Work closely with the Strategic Marketing team to analyze, review, propose strategies or improvement process…"
Data Science Analyst,Accenture,Kuala Lumpur,,4.0,Experience in handling real data. The candidate should be able to seamlessly work with Client teams in positioning data science/analytical capabilities and with…
"Analyst, Data Management (Japanese Speaker)",Edwards Lifesciences,Kuala Lumpur,,,"Experience in master data management, extracting data, and cleaning data is plus. Support and execute data cleanup projects to improve data accuracy."
Project Analyst - Fresh Grad (1 Year Contract),Recruit Express Service Sdn Bhd,Kuala Lumpur,"RM 3,000 - RM 3,500 a month",,"Coordinates preparation internal and external reports through gathering, analyzing and summarizing data and information from the departments."
Claims Analyst,Zurich Insurance,Kuala Lumpur,,3.6,Collect data and document in establsihed system to facilitate decision-making. Document claims file by accurately capturing and updating claims data/information…
2022 Asia Analyst Development Program - Summer Analyst - Mal...,"JPMorgan Chase Bank, N.A.",Kuala Lumpur,,,"You'll work with a variety of professionals to drive growth, make sure operations are effective and manage risk while maintaining the highest standards."
"Analyst, Account Receivable",BASF,Kuala Lumpur,,4.1,Advise local companies and stakeholders to ensure that master data is updated via Pastis Web whenever required based on guideline(s).
Data Analyst (Tableau/Business Intelligence),Quacquarelli Symonds,Kuala Lumpur,,,Support data analysis with intermediate/advance SQL skills to ensure all data is queried in a scalable and optimised manner.
