Title,Company Name,Location,Salary,Rating,Descriptions
Data Scientist,SSDU Innovations Sdn. Bhd.,Shah Alam,"RM 5,000 - RM 5,999 a month",,"Produce data, insight reports regularly to superior. Responsible to create data science approach and road map to support the business needs and external user…"
Data Scientist (Tableau),Agensi Perkerjaan RecruitFirst Sdn Bhd,Ampang,"RM 4,000 - RM 6,000 a month",,Support the build of contextual data marts where necessary to advance the scalability and reusability of visual analytics assets.
Data Scientists,SHAH WIRELESS SERVICES SDN. BHD.,Subang Jaya,"RM 13,000 - RM 15,999 a month",,"Analyses large, complex, multi-dimensional data from multiple sources using various data analytics methods and algorithms to obtain business insights and…"
Senior Data Analyst/ Data Scientist,Statworks (M) Sdn Bhd,Petaling Jaya,"RM 3,000 a month",,"Providing technical expertise on data storage structures, data mining, and data cleansing. Creating and cleaning data sources, transform and mine data."
Data Scientist Internship,Statworks (M) Sdn Bhd,i-City,,,Build data visualization in dashboard application to display reports. Leverage analytics to identify data patterns or build analytics.
Data Engineer/Architect/Scientist,KARN Consulting,Petaling Jaya,,,
Data Scientist,DiGi Telecommunications,Shah Alam,,4.1,"Experience with large data sets and knowledge of both structured and unstructured data. Is expert in data visualization, statistics & math, data mining &…"
Forensic Engineer,APPROVED FORENSICS SDN BHD,Batu Caves,"RM 4,000 - RM 4,999 a month",,"Public speaking is a must; effective report writing is critical • Strong project management, data interpretation, and technical writing skills • Ability to…"
Senior Data Scientist,Grab,Petaling Jaya,,3.8,"Experience in working with Digital/Mobile Marketplaces with Customer lifecycle data, g eospatial and mobility data (edited)."
Sr Executive - Data Science,NielsenIQ,Petaling Jaya,,,"Working knowledge with data visualization tools (e.g. Spotfire, Tableau, etc) and mapping tools. These professionals drive innovation, new product ideation,…"
Data Engineer,LF Logistics Services (M) Sdn Bhd,Selangor,"RM 6,000 - RM 10,000 a month",3.5,Work closely with stakeholders on the data demand side (analysts and data scientists). Develop and maintain documentation (e.g. data dictionary) for published…
Lead Data Scientist,Singularity Aerotech Asia,Kota Damansara,"RM 7,000 - RM 12,000 a month",,Consistently identify key risk when it comes to data gathering and accumulation of old historical data.5. Manage data catalog for ETL processing which pave way…
Data Engineer,HILTI,Selangor,,3.9,"You interact directly with various stakeholders (business users, data scientists, analytics teams) to understand their data demand and in turn, design and…"
Data Science Executive (Korean Speaker),NielsenIQ,Petaling Jaya,,,"Good aptitude for data analysis. These professionals drive innovation, new product ideation, develops complex analysis and delivery of data insights to measure…"
Senior Data Engineer,SHAH WIRELESS SERVICES SDN. BHD.,Subang Jaya,"RM 5,000 - RM 5,999 a month",,Manipulating large volumes of data pre-processing that involves data transformation and data cleaning. Good attention to detail to ensure data quality and…
Electrical Engineer,APPROVED FORENSICS SDN BHD,Batu Caves,"RM 4,000 - RM 4,999 a month",,"Approved Group International (AGI) was founded in 2001 bringing together seasoned forensic scientists and engineers, as well as experienced restoration…"
Software Engineer - Backend,Grab,Petaling Jaya,,3.8,Strong Computer Science fundamentals in algorithms and data structures. Process real-time transaction and telematics data at scale to build new Safety features.
Senior Data Engineer,Roche,,,4.2,"4+ years experience with data engineering, data analyst, and/or data quality assurance required; Experience in preparing and reviewing new data flows patterns;"
